node1,node2,weight,relative_weight
DUMBLEDORE,RON,7,0.89974
DUMBLEDORE,HARRY,18,2.3136
CEDRIC,VOLDEMORT,4,0.5141399999999999
HARRY,VOLDEMORT,20,2.5707
HERMIONE,RITA,3,0.3856
RITA,RON,9,1.1568
HARRY,RITA,14,1.7995
CEDRIC,RON,7,0.89974
CEDRIC,HARRY,27,3.4704
HERMIONE,WEASLEY,5,0.64267
RON,WEASLEY,11,1.4139
HARRY,WEASLEY,18,2.3136
HERMIONE,RON,56,7.1979
HARRY,HERMIONE,43,5.527
HARRY,RON,119,15.296
