"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.42313,"GEORGE","GINNY","GEORGE,GINNY"
4,0.56417,"GEORGE","RON","GEORGE,RON"
3,0.42313,"GEORGE","HARRY","GEORGE,HARRY"
8,1.1283,"DRACO","MALFOY","DRACO,MALFOY"
12,1.6925,"FELICIS","FELIX","FELICIS,FELIX"
3,0.42313,"FELICIS","RON","FELICIS,RON"
3,0.42313,"FELICIS","HARRY","FELICIS,HARRY"
4,0.56417,"MCLAGGEN","RON","MCLAGGEN,RON"
5,0.70522,"HARRY","MCLAGGEN","HARRY,MCLAGGEN"
3,0.42313,"MCGONAGALL","NEVILLE","MCGONAGALL,NEVILLE"
3,0.42313,"HERMIONE","NEVILLE","HERMIONE,NEVILLE"
9,1.2694,"HARRY","NEVILLE","HARRY,NEVILLE"
3,0.42313,"DUMBLEDORE","HORCRUX","DUMBLEDORE,HORCRUX"
8,1.1283,"HORCRUX","VOLDEMORT","HORCRUX,VOLDEMORT"
3,0.42313,"GRYFFINDOR","HERMIONE","GRYFFINDOR,HERMIONE"
4,0.56417,"GRYFFINDOR","RON","GRYFFINDOR,RON"
5,0.70522,"GRYFFINDOR","HARRY","GRYFFINDOR,HARRY"
4,0.56417,"LUNA","RON","LUNA,RON"
7,0.98731,"HARRY","LUNA","HARRY,LUNA"
4,0.56417,"FELIX","RON","FELIX,RON"
5,0.70522,"FELIX","HARRY","FELIX,HARRY"
3,0.42313,"MALFOY","SNAPE","MALFOY,SNAPE"
3,0.42313,"DUMBLEDORE","SNAPE","DUMBLEDORE,SNAPE"
6,0.84626,"SNAPE","VOLDEMORT","SNAPE,VOLDEMORT"
5,0.70522,"HARRY","SNAPE","HARRY,SNAPE"
15,2.1157,"CRABBE","GOYLE","CRABBE,GOYLE"
4,0.56417,"CRABBE","HARRY","CRABBE,HARRY"
3,0.42313,"GOYLE","RON","GOYLE,RON"
4,0.56417,"GOYLE","HARRY","GOYLE,HARRY"
4,0.56417,"MCGONAGALL","RON","MCGONAGALL,RON"
6,0.84626,"HARRY","MCGONAGALL","HARRY,MCGONAGALL"
15,2.1157,"MADAM","POMFREY","MADAM,POMFREY"
6,0.84626,"POMFREY","RON","POMFREY,RON"
4,0.56417,"HARRY","POMFREY","HARRY,POMFREY"
4,0.56417,"HAGRID","SLUGHORN","HAGRID,SLUGHORN"
3,0.42313,"HAGRID","RON","HAGRID,RON"
7,0.98731,"HAGRID","HARRY","HAGRID,HARRY"
18,2.5388,"RIDDLE","TOM","RIDDLE,TOM"
5,0.70522,"KATIE","RON","KATIE,RON"
5,0.70522,"HARRY","KATIE","HARRY,KATIE"
3,0.42313,"TOM","VOLDEMORT","TOM,VOLDEMORT"
3,0.42313,"HERMIONE","LAVENDER","HERMIONE,LAVENDER"
18,2.5388,"LAVENDER","RON","LAVENDER,RON"
8,1.1283,"HARRY","LAVENDER","HARRY,LAVENDER"
3,0.42313,"DUMBLEDORE","SLUGHORN","DUMBLEDORE,SLUGHORN"
4,0.56417,"SLUGHORN","VOLDEMORT","SLUGHORN,VOLDEMORT"
12,1.6925,"HARRY","SLUGHORN","HARRY,SLUGHORN"
7,0.98731,"MADAM","RON","MADAM,RON"
5,0.70522,"HARRY","MADAM","HARRY,MADAM"
10,1.4104,"GINNY","WEASLEY","GINNY,WEASLEY"
3,0.42313,"HERMIONE","WEASLEY","HERMIONE,WEASLEY"
14,1.9746,"RON","WEASLEY","RON,WEASLEY"
9,1.2694,"HARRY","WEASLEY","HARRY,WEASLEY"
3,0.42313,"MALFOY","RON","MALFOY,RON"
16,2.2567,"HARRY","MALFOY","HARRY,MALFOY"
12,1.6925,"DUMBLEDORE","VOLDEMORT","DUMBLEDORE,VOLDEMORT"
3,0.42313,"DUMBLEDORE","HERMIONE","DUMBLEDORE,HERMIONE"
5,0.70522,"DUMBLEDORE","RON","DUMBLEDORE,RON"
32,4.5134,"DUMBLEDORE","HARRY","DUMBLEDORE,HARRY"
15,2.1157,"HARRY","VOLDEMORT","HARRY,VOLDEMORT"
16,2.2567,"GINNY","HERMIONE","GINNY,HERMIONE"
27,3.8082,"GINNY","RON","GINNY,RON"
24,3.385,"GINNY","HARRY","GINNY,HARRY"
76,10.719,"HERMIONE","RON","HERMIONE,RON"
30,4.2313,"HARRY","HERMIONE","HARRY,HERMIONE"
97,13.681,"HARRY","RON","HARRY,RON"
